id_pregunta,nivel_riesgo,juicio_global,Comprensión de la pregunta,Relevancia de la recuperación,Cobertura de fuentes,Fundamentación en evidencia,Precisión de citas,Control de alucinaciones,Conciencia de riesgo,Utilidad para el usuario,puntaje_promedio,etiquetas_de_fallo
q001,high,Exitosa,4,3,4,4,3,4,4,4,3.75,citation_mismatch
q002,medium,Parcialmente exitosa,4,2,2,2,1,3,4,4,2.75,missing_source; incomplete_source_coverage; citation_mismatch
q003,medium,Exitosa,4,3,4,4,3,4,4,4,3.75,citation_mismatch
q004,high,Parcialmente exitosa,4,2,3,4,2,4,4,4,3.38,missing_source; incomplete_source_coverage; citation_mismatch; irrelevant_retrieval
q005,medium,Exitosa,4,3,4,4,3,4,4,4,3.75,citation_mismatch
q006,high,Exitosa,4,4,4,4,4,4,4,4,4.0,
q007,high,Parcialmente exitosa,4,3,3,4,3,4,4,4,3.62,missing_source; incomplete_source_coverage
q008,medium,Parcialmente exitosa,3,4,4,3,4,4,3,2,3.38,overgeneralization; answer_not_actionable
q009,medium,Exitosa,4,3,4,4,3,4,4,4,3.75,citation_mismatch
q010,high,Parcialmente exitosa,3,4,4,2,4,4,3,2,3.25,overgeneralization; answer_not_actionable; risk_underestimation
q011,high,Fallida,1,2,2,1,1,2,1,1,1.38,misunderstood_intent; missing_source; incomplete_source_coverage; irrelevant_retrieval; unsupported_claim; privacy_risk; answer_not_actionable
q012,medium,Parcialmente exitosa,3,4,4,3,4,4,4,2,3.5,overgeneralization; answer_not_actionable; incomplete_source_coverage
